Gene	Name
TNF	tumor necrosis factor 
IL10	interleukin 10 
IL6	interleukin 6 
C4A	complement component 4A (Rodgers blood group) 
TNFSF13B	"tumor necrosis factor (ligand) superfamily, member 13b "
IRF5	interferon regulatory factor 5 
CD4	CD4 molecule 
IL17A	interleukin 17A 
TLR9	toll-like receptor 9 
STAT4	signal transducer and activator of transcription 4 
CRP	"C-reactive protein, pentraxin-related "
IL21	interleukin 21 
IFN1@	"interferon, type 1, cluster "
PTPN22	"protein tyrosine phosphatase, non-receptor type 22 (lymphoid) "
PRL	prolactin 
IFNA1	"interferon, alpha 1 "
CD40LG	CD40 ligand 
IL2	interleukin 2 
TNFAIP3	"tumor necrosis factor, alpha-induced protein 3 "
TLR7	toll-like receptor 7 
MBL2	"mannose-binding lectin (protein C) 2, soluble "
CR1	complement component (3b/4b) receptor 1 (Knops blood group) 
ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit) "
CCL2	chemokine (C-C motif) ligand 2 
IL22	interleukin 22 
CD40	"CD40 molecule, TNF receptor superfamily member 5 "
HLA-DRB1	"major histocompatibility complex, class II, DR beta 1 "
PDCD1	programmed cell death 1 
C1QA	"complement component 1, q subcomponent, A chain "
HMGB1	high mobility group box 1 
LEP	leptin 
C2	complement component 2 
CD8A	CD8a molecule 
FOXP3	forkhead box P3 
CXCL10	chemokine (C-X-C motif) ligand 10 
CD19	CD19 molecule 
FCGR3B	"Fc fragment of IgG, low affinity IIIb, receptor (CD16b) "
C3	complement component 3 
FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor (CD32) "
IFNG	"interferon, gamma "
CTLA4	cytotoxic T-lymphocyte-associated protein 4 
IL18	interleukin 18 
VDR	"vitamin D (1,25- dihydroxyvitamin D3) receptor "
APOH	apolipoprotein H (beta-2-glycoprotein I) 
BCL2	B-cell CLL/lymphoma 2 
CR2	complement component (3d/Epstein Barr virus) receptor 2 
IL4	interleukin 4 
VEGFA	vascular endothelial growth factor A 
MBL3P	"mannose-binding lectin family member 3, pseudogene "
TRIM21	tripartite motif containing 21 
SYK	spleen tyrosine kinase 
TLR4	toll-like receptor 4 
FCGR3A	"Fc fragment of IgG, low affinity IIIa, receptor (CD16a) "
IFNA2	"interferon, alpha 2 "
PTX3	"pentraxin 3, long "
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor) 
CXCL13	chemokine (C-X-C motif) ligand 13 
TREX1	three prime repair exonuclease 1 
HAVCR2	hepatitis A virus cellular receptor 2 
CD24	CD24 molecule 
FASLG	"Fas ligand (TNF superfamily, member 6) "
CD27	CD27 molecule 
ESR1	estrogen receptor 1 
ETS1	v-ets avian erythroblastosis virus E26 oncogene homolog 1 
IL1B	"interleukin 1, beta "
SPP1	secreted phosphoprotein 1 
CD80	CD80 molecule 
CXCL8	chemokine (C-X-C motif) ligand 8 
ATG5	autophagy related 5 
TLR8	toll-like receptor 8 
IL23A	"interleukin 23, alpha subunit p19 "
BLK	"BLK proto-oncogene, Src family tyrosine kinase "
CD28	CD28 molecule 
HLA-G	"major histocompatibility complex, class I, G "
PTEN	phosphatase and tensin homolog 
TNFSF4	"tumor necrosis factor (ligand) superfamily, member 4 "
TYK2	tyrosine kinase 2 
TNIP1	TNFAIP3 interacting protein 1 
C4B	complement component 4B (Chido blood group) 
CD70	CD70 molecule 
MAPK1	mitogen-activated protein kinase 1 
STAT1	"signal transducer and activator of transcription 1, 91kDa "
TLR2	toll-like receptor 2 
TNFSF12	"tumor necrosis factor (ligand) superfamily, member 12 "
PXK	PX domain containing serine/threonine kinase 
FCRL3	Fc receptor-like 3 
MIR155	microRNA 155 
BDNF	brain-derived neurotrophic factor 
CD22	CD22 molecule 
CCR5	chemokine (C-C motif) receptor 5 (gene/pseudogene) 
DNASE1	deoxyribonuclease I 
IRF8	interferon regulatory factor 8 
INS	insulin 
TP53	tumor protein p53 
MIR146A	microRNA 146a 
