Gene,adj.P.Val,P.Value,t,B,logFC
BRD8,0.959,0.000127,4.6293002,-1.13,0.26245737
COPA,0.959,0.000372,-4.18957,-1.59,-0.44129252
TPP1,0.959,0.000399,-4.1616129,-1.62,-0.46648331
IQCE,0.959,0.000444,-4.1178235,-1.67,-0.32950234
ZNF652,0.959,0.000479,-4.0870195,-1.7,-0.4739675
CD44,0.959,0.000661,-3.9552815,-1.84,-0.5359138
UTRN,0.959,0.000708,-3.9271945,-1.87,-0.35946283
BPTF,0.959,0.000914,-3.8228477,-1.99,-0.50219388
WNK1,0.959,0.000925,-3.8181048,-1.99,-0.52634354
LOC101930361///LOC101929970///CHRFAM7A///CHRNA7,0.959,0.000935,3.8136121,-2,0.2265192
PTBP3,0.959,0.000955,-3.8047495,-2.01,-0.50801558
GCHFR,0.959,0.001088,3.7514697,-2.06,0.28114824
ISG15,0.959,0.001104,3.7453326,-2.07,0.83426395
ZBTB6,0.959,0.001142,-3.7313226,-2.09,-0.28264334
PCM1,0.959,0.001151,-3.7280517,-2.09,-0.38942709
MIR4800///MXD4,0.959,0.001168,3.7219923,-2.1,0.19732428
ARL6IP4,0.959,0.00117,3.7214164,-2.1,0.2692821
MIR4784///MZT2A///MZT2B,0.959,0.001191,3.7142396,-2.11,0.41661053
MARK4,0.959,0.001217,-3.7050899,-2.12,-0.29174318
MINK1,0.959,0.001299,-3.6783145,-2.15,-0.32769337
SERTAD3,0.959,0.0013,3.6781249,-2.15,0.27053366
OCLN,0.959,0.001632,3.5843144,-2.25,0.26922026
,0.959,0.001824,3.5382664,-2.3,0.21043274
USP34,0.959,0.001873,-3.5271542,-2.31,-0.39209118
EPRS,0.959,0.002097,-3.4803757,-2.37,-0.40980053
DALRD3,0.959,0.00226,3.449089,-2.4,0.21276021
CD4,0.959,0.002319,-3.4383559,-2.41,-0.26096001
TTC3P1///TTC3,0.959,0.002335,-3.4354889,-2.42,-0.64315023
SIVA1,0.959,0.002373,3.428845,-2.42,0.26972675
POLR2J4,0.959,0.00246,-3.4138968,-2.44,-0.41398468
TNC,0.959,0.002611,3.3888754,-2.47,0.1625947
ARID1A,0.959,0.00263,-3.3859469,-2.47,-0.27183113
OASL,0.959,0.002644,3.383656,-2.47,0.29862165
PALM2-AKAP2///AKAP2,0.959,0.002874,-3.3487893,-2.51,-0.51288357
,0.959,0.002917,-3.3426563,-2.52,-0.57333207
HTR2C,0.959,0.002988,3.3324779,-2.53,0.22308161
DICER1,0.959,0.003012,-3.3292055,-2.53,-0.21764188
,0.959,0.003034,3.3260801,-2.54,0.26542497
NIPBL,0.959,0.00308,-3.3197732,-2.54,-0.45456414
NUDT3,0.959,0.003151,-3.3102872,-2.56,-0.40284333
MMP16,0.959,0.003168,3.3080103,-2.56,0.17933543
NIPBL,0.959,0.003332,-3.2868118,-2.58,-0.33760448
PAFAH1B1,0.959,0.0035,-3.2661422,-2.6,-0.54798422
LARP4B,0.959,0.003518,-3.2639466,-2.61,-0.47045078
KIF3A,0.959,0.003576,-3.2570915,-2.61,-0.25450299
TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1,0.959,0.003594,-3.2549617,-2.62,-0.30323153
GIT2,0.959,0.003626,-3.2511725,-2.62,-0.29149714
CLCN4,0.959,0.003677,-3.2453446,-2.63,-0.27258539
ATP2B4,0.959,0.003713,-3.2411909,-2.63,-0.32275295
COX5B,0.959,0.003821,3.2291187,-2.65,0.40688305
ATP2B4,0.959,0.003829,-3.228237,-2.65,-0.34055557
SMARCA2,0.959,0.003868,-3.2239631,-2.65,-0.33214178
ANKHD1-EIF4EBP3///ANKHD1,0.959,0.003956,-3.2144729,-2.66,-0.24847484
APP,0.959,0.003987,-3.2111826,-2.67,-0.54775333
TIMM17B,0.959,0.003997,3.2100967,-2.67,0.21498852
USP47,0.959,0.00401,-3.2087021,-2.67,-0.28591752
CNNM3,0.959,0.004237,-3.1853591,-2.69,-0.30075545
ATM,0.959,0.004267,-3.1824633,-2.7,-0.29118776
MZT2A///MZT2B///PHGDH,0.959,0.004331,3.1761102,-2.7,0.34242496
GPX4,0.959,0.004371,3.1721736,-2.71,0.27604704
CLCN4,0.959,0.004379,-3.1714678,-2.71,-0.41481156
GLG1,0.959,0.004488,-3.1609832,-2.72,-0.33171415
PPFIA1,0.959,0.004556,-3.1546554,-2.73,-0.22102771
MED1,0.959,0.004596,-3.1509258,-2.73,-0.45355706
LOC100506123///LOC100506076,0.959,0.004705,-3.1409293,-2.74,-0.36043
ITPR2,0.959,0.004739,-3.1379152,-2.75,-0.30067625
UBL5,0.959,0.004754,3.1365717,-2.75,0.40283937
COX6A1,0.959,0.004771,3.1350819,-2.75,0.38937759
AKAP13,0.959,0.004794,-3.1329872,-2.75,-0.31962938
CBR1,0.959,0.00482,3.1306852,-2.76,0.26932573
POLR2F,0.959,0.004889,3.1246741,-2.76,0.24210348
MPG,0.959,0.004955,3.118969,-2.77,0.1733429
DDTL///DDT,0.959,0.004998,3.1152348,-2.77,0.31009359
TPR,0.959,0.005024,-3.1130794,-2.78,-0.41315193
ARL6IP4,0.959,0.005152,3.10234,-2.79,0.24087291
EPRS,0.959,0.005224,-3.0964123,-2.79,-0.31794677
INSR,0.959,0.005238,-3.0953204,-2.79,-0.23442159
SMARCC1,0.959,0.005254,-3.0939632,-2.8,-0.25466061
CASP10,0.959,0.005257,-3.0937468,-2.8,-0.21474862
CLIC4,0.959,0.005293,-3.0908522,-2.8,-0.26404109
TPP1,0.959,0.005293,-3.090807,-2.8,-0.40085001
USP48,0.959,0.005421,-3.0806451,-2.81,-0.33782215
LRRC17,0.959,0.005629,3.0645536,-2.83,0.22442546
ARNT,0.959,0.0058,-3.0517259,-2.84,-0.23803549
VEZF1,0.959,0.006086,-3.031118,-2.87,-0.38297729
ZMYND8,0.959,0.006159,-3.0259796,-2.87,-0.33608985
PAFAH1B1,0.959,0.006199,-3.0232477,-2.88,-0.30853739
DRAP1,0.959,0.006228,3.0212351,-2.88,0.28576598
PAFAH2,0.959,0.006266,3.0186135,-2.88,0.16609516
CEP68,0.959,0.006362,-3.0120715,-2.89,-0.54999518
PRPF4,0.959,0.00638,-3.0108274,-2.89,-0.28312716
REV3L,0.959,0.006542,-3.0000757,-2.9,-0.32146959
FAM168A,0.959,0.006548,-2.9996648,-2.9,-0.24618235
MLX,0.959,0.00658,2.9975725,-2.9,0.18164015
SLC39A8,0.959,0.006585,-2.9972725,-2.9,-0.27910528
TTC17,0.959,0.006592,-2.9968125,-2.9,-0.32401776
CACFD1,0.959,0.006606,2.9958875,-2.91,0.20410533
MBNL1,0.959,0.006631,-2.9942499,-2.91,-0.40523572
,0.959,0.006636,-2.9939265,-2.91,-0.47876787
DCAF7,0.959,0.00674,-2.9872721,-2.92,-0.31561012
,0.959,0.006949,-2.9740603,-2.93,-0.30309906
TNFAIP3,0.959,0.006973,-2.9725977,-2.93,-0.29406347
SEC63,0.959,0.006978,-2.9722972,-2.93,-0.28877954
RGPD6///RGPD8///RGPD3///RGPD4///RGPD5,0.959,0.007002,-2.970839,-2.93,-0.42350955
ZMIZ1,0.959,0.007055,-2.967581,-2.94,-0.35836325
USP10,0.959,0.007073,-2.9664748,-2.94,-0.31730785
ZNF41,0.959,0.007087,-2.9656245,-2.94,-0.15698869
SYNE3///LINC00341,0.959,0.007132,-2.9628835,-2.94,-0.33695116
CDH6,0.959,0.007247,2.9559822,-2.95,0.20758479
ACTA2,0.959,0.007261,2.955131,-2.95,0.34655457
KHDRBS1,0.959,0.007282,-2.9539048,-2.95,-0.36592226
SPOCK2,0.959,0.007424,-2.9455264,-2.96,-0.24727416
LNPEP,0.959,0.007437,-2.9447709,-2.96,-0.24708104
KLHDC3,0.959,0.00749,2.9417153,-2.97,0.17034688
CACNB4,0.959,0.007498,2.9412581,-2.97,0.24933548
KCNJ3,0.959,0.007605,2.9351008,-2.97,0.16556203
ZNF146,0.959,0.007607,-2.935025,-2.97,-0.3753643
RABGAP1,0.959,0.007629,-2.9337403,-2.97,-0.20782995
PML,0.959,0.007655,2.932292,-2.98,0.23254328
KLHL20,0.959,0.007658,-2.932126,-2.98,-0.16735182
WISP1,0.959,0.007671,2.9313972,-2.98,0.17499969
EPB41L3,0.959,0.007688,-2.9304467,-2.98,-0.44487486
CDK13,0.959,0.007701,-2.9296947,-2.98,-0.25339355
TPR,0.959,0.007828,-2.9226032,-2.99,-0.23977048
DHRS7,0.959,0.007836,2.9221457,-2.99,0.2414794
GNB5,0.959,0.007862,-2.9207235,-2.99,-0.36034131
CKLF,0.959,0.007881,2.9196665,-2.99,0.3974576
ARID1A,0.959,0.00801,-2.9126605,-3,-0.31145058
TXN2,0.959,0.008018,2.9122016,-3,0.17243471
SCAF11,0.959,0.008034,-2.9113597,-3,-0.25395365
MIR1282///HYPK///SERF2,0.959,0.008055,2.9102229,-3,0.2548276
PPP4R3A,0.959,0.008162,-2.9044681,-3.01,-0.24477978
CD93,0.959,0.008178,-2.9036057,-3.01,-0.24588833
CCZ1B,0.959,0.008233,-2.9007054,-3.01,-0.42768579
SEC24A,0.959,0.008296,-2.8974314,-3.01,-0.3064477
CHKB,0.959,0.008305,2.8969252,-3.01,0.17711854
IL3,0.959,0.008454,2.88922,-3.02,0.18617494
ADNP2,0.959,0.008471,-2.8883162,-3.02,-0.30605507
CREB1,0.959,0.008525,-2.8855732,-3.03,-0.46741643
,0.959,0.008586,-2.8824778,-3.03,-0.32457337
ZNF264,0.959,0.008611,-2.8811975,-3.03,-0.36654525
RANBP2,0.959,0.008648,-2.8793346,-3.03,-0.58370538
CLIC1,0.959,0.008649,2.8793038,-3.03,0.36334028
KDM6A,0.959,0.008651,-2.8792009,-3.03,-0.31515999
PLP1,0.959,0.00867,2.8782362,-3.04,0.20161164
ATXN2,0.959,0.008772,-2.8731468,-3.04,-0.29574614
SSTR2,0.959,0.008809,2.8713039,-3.04,0.20214658
USO1,0.959,0.008905,-2.8666021,-3.05,-0.29239106
WAC,0.959,0.008948,-2.8644633,-3.05,-0.26887722
