Gene symbol	Aliases	Description	Disease count
A2M	A2MD, CPAMD5, FWP007, S863-7	alpha-2-macroglobulin	2	
NAT1	AAC1, MNAT, NAT-1, NATI	N-acetyltransferase 1 (arylamine N-acetyltransferase)	1	
NAT2	AAC2, NAT-2, PNAT	N-acetyltransferase 2 (arylamine N-acetyltransferase)	8	
SERPINA3	AACT, ACT, GIG24, GIG25	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	4	
AADAC	CES5A1, DAC	arylacetamide deacetylase	1	
AAMP		angio-associated, migratory cell protein	1	
AARS	CMT2N, EIEE29	alanyl-tRNA synthetase	1	
ABAT	GABA-AT, GABAT, NPD009	4-aminobutyrate aminotransferase	1	
ABCA1	ABC-1, ABC1, CERP, HDLDT1, TGD	ATP-binding cassette, sub-family A (ABC1), member 1	4	
ABCF1	ABC27, ABC50	ATP-binding cassette, sub-family F (GCN20), member 1	1	
ABL1	ABL, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	1	
ABO	A3GALNT, A3GALT1, GTB, NAGAT	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	4	
ACACA	ACAC, ACACAD, ACC, ACC1, ACCA	acetyl-CoA carboxylase alpha	1	
ACADM	ACAD1, MCAD, MCADH	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	1	
ACADS	ACAD3, SCAD	acyl-CoA dehydrogenase, C-2 to C-3 short chain	1	
ACADVL	ACAD6, LCACD, VLCAD	acyl-CoA dehydrogenase, very long chain	1	
ASIC2	ACCN, ACCN1, ASIC2a, BNC1, BNaC1, MDEG, hBNaC1	acid sensing (proton gated) ion channel 2	1	
ASIC1	ACCN2, ASIC, BNaC2	acid sensing (proton gated) ion channel 1	1	
ACHE	ACEE, ARACHE, N-ACHE, YT	acetylcholinesterase (Yt blood group)	5	
ACR		acrosin	1	
ACO2	ACONM, ICRD, OCA8	aconitase 2, mitochondrial	1	
ACP1	HAAP, LMW-PTP	acid phosphatase 1, soluble	5	
ACP5	SPENCDI, TRAP	acid phosphatase 5, tartrate resistant	3	
ACTA1	ACTA, ASMA, CFTD, CFTD1, CFTDM, MPFD, NEM1, NEM2, NEM3	actin, alpha 1, skeletal muscle	2	
ACTA2	AAT6, ACTSA, MYMY5	actin, alpha 2, smooth muscle, aorta	1	
ACTN4	ACTININ-4, FSGS, FSGS1	actinin, alpha 4	1	
ACTN1	BDPLT15	actinin, alpha 1	2	
ACTN2	CMD1AA, CMH23	actinin, alpha 2	1	
ACVRL1	ACVRLK1, ALK-1, ALK1, HHT, HHT2, ORW2, SKR3, TSR-I	activin A receptor type II-like 1	1	
ADA		adenosine deaminase	12	
ADAM8	CD156, CD156a, MS2	ADAM metallopeptidase domain 8	2	
ADAM10	AD10, AD18, CD156c, HsT18717, MADM, RAK, kuz	ADAM metallopeptidase domain 10	3	
ADAR	ADAR1, AGS6, DRADA, DSH, DSRAD, G1P1, IFI-4, IFI4, K88DSRBP, P136	adenosine deaminase, RNA-specific	1	
ADARB1	ADAR2, DRABA2, DRADA2, RED1	adenosine deaminase, RNA-specific, B1	1	
ADCY3	AC3	adenylate cyclase 3	2	
ADCY7	AC7	adenylate cyclase 7	1	
ADCYAP1	PACAP	adenylate cyclase activating polypeptide 1 (pituitary)	6	
ADCYAP1R1	PAC1, PAC1R, PACAPR, PACAPRI	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	1	
ADD2	ADDB	adducin 2 (beta)	1	
ADH1B	ADH2, HEL-S-117	alcohol dehydrogenase 1B (class I), beta polypeptide	1	
ADH1C	ADH3	alcohol dehydrogenase 1C (class I), gamma polypeptide	1	
ADH4	ADH-2, HEL-S-4	alcohol dehydrogenase 4 (class II), pi polypeptide	1	
ADK	AK	adenosine kinase	1	
ADM	AM, PAMP	adrenomedullin	4	
ADORA1	RDC7	adenosine A1 receptor	1	
ADORA2A	A2aR, ADORA2, RDC8	adenosine A2a receptor	1	
ADORA2B	ADORA2	adenosine A2b receptor	1	
ADORA3	A3AR	adenosine A3 receptor	3	
PARP1	ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PPOL, pADPRT-1	poly (ADP-ribose) polymerase 1	11	
ADRB1	ADRB1R, B1AR, BETA1AR, RHR	adrenoceptor beta 1	2	
